N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
123,현대미포조선,"50,500",100,-0.20%,"5,000","20,171","39,942",12.71,"488,861",43.46,2.31,
124,종근당,"184,000",0,0.00%,"2,500","20,030","10,886",13.73,"120,309",20.80,11.94,
125,한화,"26,700",450,+1.71%,"5,000","20,014","74,959",19.16,"372,755",10.88,2.09,
126,한솔케미칼,"172,000","8,000",+4.88%,"5,000","19,428","11,295",36.89,"131,333",16.55,20.88,
127,BNK금융지주,"5,950",60,+1.02%,"5,000","19,393","325,935",37.90,"2,080,617",4.04,7.07,
128,한올바이오파마,"37,100",700,-1.85%,500,"19,381","52,241",7.26,"319,761",98.41,14.90,
129,메리츠화재,"16,050",200,-1.23%,500,"19,360","120,625",10.36,"342,600",4.71,12.80,
130,KODEX 단기채권,"102,600",5,0.00%,0,"18,811","18,334",3.27,"17,541",N/A,N/A,
131,포스코인터내셔널,"15,150",0,0.00%,"5,000","18,691","123,375",12.86,"563,436",8.36,7.06,
132,대우건설,"4,425",10,+0.23%,"5,000","18,391","415,623",8.20,"3,636,921",9.56,8.80,
133,현대로템,"16,850",200,-1.17%,"5,000","18,390","109,142",4.48,"1,888,800",-9.57,-37.93,
134,농심,"302,000","5,000",+1.68%,"5,000","18,370","6,083",18.41,"58,777",13.55,3.72,
135,LS ELECTRIC,"60,700","1,000",+1.68%,"5,000","18,210","30,000",14.24,"258,041",23.39,7.82,
136,녹십자홀딩스,"37,750",500,+1.34%,500,"17,753","47,028",6.05,"1,360,738",35.68,0.37,
137,두산인프라코어,"8,220",20,-0.24%,"5,000","17,748","215,912",4.31,"2,605,413",10.61,11.59,
138,한화시스템,"15,700",900,+6.08%,"5,000","17,306","110,230",2.41,"3,911,863",22.24,8.15,
139,효성,"82,000",400,+0.49%,"5,000","17,278","21,071",5.70,"59,121",-38.44,4.25,
140,HDC현대산업개발,"26,100",50,-0.19%,"5,000","17,202","65,907",10.03,"859,382",6.48,20.30,
141,OCI,"71,500","3,300",+4.84%,"5,000","17,052","23,849",17.55,"716,603",-2.31,-26.20,
142,KCC,"191,000","6,000",+3.24%,"5,000","16,973","8,886",11.98,"85,241",-606.35,-4.37,
143,현대엘리베이,"41,400",50,+0.12%,"5,000","16,897","40,815",25.46,"202,957",18.54,5.22,
144,현대백화점,"70,800",200,-0.28%,"5,000","16,569","23,402",13.90,"162,431",14.51,4.64,
145,아이에스동서,"51,000",200,-0.39%,500,"15,755","30,893",5.57,"106,947",12.30,6.10,
146,대웅제약,"135,000",0,0.00%,"2,500","15,642","11,587",4.74,"594,238",-944.06,4.34,
147,DB하이텍,"34,950",50,+0.14%,"5,000","15,517","44,399",26.84,"443,515",9.43,17.40,
148,KODEX 레버리지,"20,950",160,+0.77%,0,"15,084","72,000",4.02,"41,237,422",N/A,N/A,
149,영진약품,"8,140",30,-0.37%,500,"14,887","182,893",4.19,"2,105,982","-2,035.00",4.43,
150,대한유화,"228,500","1,500",+0.66%,"5,000","14,852","6,500",17.46,"46,218",16.73,6.11,
151,두산솔루스,"48,500","1,050",-2.12%,100,"14,836","30,590",9.31,"2,358,558",140.17,N/A,
152,LG생활건강우,"702,000","3,000",+0.43%,"5,000","14,740","2,100",84.21,"7,064",15.73,N/A,
153,한화에어로스페이스,"29,100","1,050",+3.74%,"5,000","14,733","50,630",17.66,"949,864",20.41,5.45,
154,영원무역,"33,100",400,-1.19%,500,"14,667","44,311",23.50,"204,393",8.96,9.82,
155,KODEX 종합채권(AA-이상)액티브,"110,065",60,-0.05%,0,"14,645","13,306",0.00,"10,693",N/A,N/A,
156,KODEX 삼성그룹,"9,195",75,+0.82%,0,"14,602","158,800",2.45,"429,129",N/A,N/A,
157,한국테크놀로지그룹,"15,350",150,+0.99%,500,"14,279","93,020",6.76,"170,860",12.81,4.71,
158,NHN,"72,900",200,-0.27%,500,"14,263","19,565",11.19,"66,002",48.57,0.78,
159,지누스,"98,600",900,-0.90%,500,"14,205","14,407",21.81,"59,652",19.90,26.32,
160,KODEX MSCI Korea TR,"12,050",35,+0.29%,0,"14,002","116,200",7.66,"310,034",N/A,N/A,
161,메리츠금융지주,"10,350",200,+1.97%,500,"13,870","134,011",8.41,"323,452",2.98,15.26,
162,롯데정밀화학,"53,700",400,+0.75%,"5,000","13,855","25,800",23.10,"122,567",8.10,11.73,
163,한전KPS,"30,000",150,+0.50%,200,"13,500","45,000",12.00,"185,176",11.14,14.98,
164,현대위아,"49,000",550,+1.14%,"5,000","13,326","27,195",11.64,"143,693",10.59,1.80,
165,대한전선,"1,545",135,+9.57%,500,"13,232","856,473",2.02,"107,548,220",-85.83,-3.99,
166,F&F,"85,200",400,+0.47%,500,"13,121","15,400",10.40,"43,721",15.06,25.13,
167,KODEX 코스닥150 레버리지,"15,965",300,+1.92%,0,"12,724","79,700",4.76,"29,314,889",N/A,N/A,
168,파미셀,"21,150",200,+0.95%,500,"12,681","59,959",7.41,"1,887,909",183.91,8.78,
169,DGB금융지주,"7,420",30,+0.41%,"5,000","12,551","169,146",46.95,"491,182",3.79,7.31,
170,KODEX 200TR,"11,950",35,+0.29%,0,"12,548","105,000",0.00,"211,223",N/A,N/A,
171,JB금융지주,"6,250",180,+2.97%,"5,000","12,311","196,983",39.01,"1,412,165",3.56,10.36,
172,이노션,"61,400",600,-0.97%,500,"12,280","20,000",29.28,"60,704",19.12,9.88,
173,SK디스커버리,"64,200","1,700",+2.72%,"5,000","12,222","19,038",9.88,"100,082",4.22,11.52,
174,일양약품,"62,200",600,-0.96%,"2,500","11,871","19,086",8.49,"267,051",114.97,5.20,
175,SK네트웍스,"4,770",45,+0.95%,"2,500","11,839","248,188",12.20,"487,677",-20.65,-5.85,
176,KG동부제철,"11,800",300,+2.61%,"5,000","11,801","100,009",0.15,"215,401",14.32,-7.44,
177,신세계인터내셔날,"165,000","3,000",+1.85%,"5,000","11,781","7,140",5.36,"30,851",26.13,12.98,
178,롯데관광개발,"16,600",100,-0.60%,500,"11,500","69,276",4.82,"254,795",-24.38,-4.77,
179,진원생명과학,"25,300",250,+1.00%,"1,000","11,327","44,771",11.08,"1,722,974",-73.33,-28.50,
180,금호타이어,"3,930",5,+0.13%,"5,000","11,289","287,260",4.29,"354,954",-11.26,-3.30,
181,코오롱인더,"40,000",350,+0.88%,"5,000","10,792","26,979",15.26,"144,744",7.16,1.58,
182,더블유게임즈,"58,100",700,-1.19%,500,"10,676","18,375",15.58,"124,387",9.96,18.93,
183,TIGER MSCI Korea TR,"15,140",55,+0.36%,0,"10,659","70,400",0.00,"310,511",N/A,N/A,
184,TIGER 단기통안채,"100,780",0,0.00%,0,"10,544","10,462",6.96,"3,953",N/A,N/A,
185,한국콜마,"46,000",50,+0.11%,500,"10,525","22,881",25.80,"137,878",33.09,6.39,
186,현대홈쇼핑,"86,600","2,400",+2.85%,"5,000","10,392","12,000",27.21,"69,463",11.56,5.03,
187,GKL,"16,750",150,-0.89%,500,"10,361","61,856",5.92,"442,046",-77.91,12.62,
188,제일약품,"70,000",300,+0.43%,500,"10,293","14,705",3.55,"276,689",-138.61,-5.96,
189,코리안리,"8,510",50,-0.58%,500,"10,243","120,369",28.31,"332,158",6.85,8.04,
190,LG상사,"26,400","1,300",+5.18%,"5,000","10,233","38,760",22.59,"731,191",7.19,2.49,
191,아시아나항공,"4,520",25,-0.55%,"5,000","10,090","223,235",5.18,"5,601,521",-0.39,-90.67,
192,KODEX 인버스,"4,530",20,-0.44%,0,"9,930","219,200",1.32,"20,133,289",N/A,N/A,
193,SK가스,"107,500","1,000",+0.94%,"5,000","9,923","9,230",8.95,"13,715",2.52,9.85,
194,휴켐스,"24,250",300,+1.25%,"1,000","9,913","40,879",8.60,"275,623",20.57,10.82,
195,명신산업,"24,300","1,750",+7.76%,500,"9,909","40,779",1.37,"24,690,003",N/A,53.84,
196,다우기술,"22,000",200,+0.92%,500,"9,871","44,867",22.65,"199,349",3.54,14.62,
197,영풍,"534,000","1,000",-0.19%,"5,000","9,836","1,842",4.67,"1,342",5.31,7.40,
198,롯데칠성,"109,500","1,500",-1.35%,500,"9,828","8,975",11.05,"38,745",-11.23,-11.68,
199,코스맥스,"97,700","1,300",+1.35%,500,"9,818","10,050",24.38,"47,828",24.18,10.45,
200,KBSTAR 200,"37,265",145,+0.39%,0,"9,745","26,150",0.46,"285,907",N/A,N/A,
